Place,County
Crafts,"Putnam, NY"
Crofts Corners,"Putnam, NY"
Deforest Corners,"Putnam, NY"
Dennytown,"Putnam, NY"
Drewville Heights,"Putnam, NY"
Dykemans,"Putnam, NY"
Farmers Mills,"Putnam, NY"
Field Corners,"Putnam, NY"
Forsonville,"Putnam, NY"
Garrison,"Putnam, NY"
Gilbert Corners,"Putnam, NY"
Glenclyffe,"Putnam, NY"
Graymoor,"Putnam, NY"
Haines Corners,"Putnam, NY"
Haviland Hollow,"Putnam, NY"
Hortontown,"Putnam, NY"
Kent,"Putnam, NY"
Kent Cliffs,"Putnam, NY"
Kent Corners,"Putnam, NY"
Kent Hills,"Putnam, NY"
Kenwood Estates,"Putnam, NY"
Lake Carmel,"Putnam, NY"
Lake Charles,"Putnam, NY"
Lake Gardens,"Putnam, NY"
Lake Mahopac,"Putnam, NY"
Lake Peekskill,"Putnam, NY"
Lake Secor,"Putnam, NY"
Leeside,"Putnam, NY"
Ludingtonville,"Putnam, NY"
McLaughlin Acres,"Putnam, NY"
Mahopac,"Putnam, NY"
Mahopac Falls,"Putnam, NY"
Mahopac Hills,"Putnam, NY"
Mahopac Mines,"Putnam, NY"
Mahopac Point,"Putnam, NY"
Mahopac Ridge,"Putnam, NY"
Manitou,"Putnam, NY"
Meads Corners,"Putnam, NY"
Milltown,"Putnam, NY"
Nelson Corners,"Putnam, NY"
Nelsonville,"Putnam, NY"
North Highland,"Putnam, NY"
Oscawana Corners,"Putnam, NY"
Oscawana Lake,"Putnam, NY"
Patterson,"Putnam, NY"
Patterson,"Putnam, NY"
Patterson Hamlet,"Putnam, NY"
Peach Lake,"Putnam, NY"
Philipstown,"Putnam, NY"
Putnam Lake,"Putnam, NY"
Putnam Valley,"Putnam, NY"
Richardsville,"Putnam, NY"
Romanoff,"Putnam, NY"
Sears Corners,"Putnam, NY"
Settlers Hill,"Putnam, NY"
Seven Hills,"Putnam, NY"
Sodom,"Putnam, NY"
Southeast,"Putnam, NY"
South Highland,"Putnam, NY"
South Lake,"Putnam, NY"
Steinbeck Corners,"Putnam, NY"
Stillwater,"Putnam, NY"
Sunnybrook,"Putnam, NY"
Tilly Foster,"Putnam, NY"
Tompkins Corners,"Putnam, NY"
Tonetta Lake Heights,"Putnam, NY"
Towners,"Putnam, NY"
Vail's Grove,"Putnam, NY"
West Mahopac,"Putnam, NY"
West Patterson,"Putnam, NY"
", RI",Rhode Island
Bardonia,"Rockland, NY"
Bear Mountain,"Rockland, NY"
Blauvelt,"Rockland, NY"
Brownsell Corner,"Rockland, NY"
Buckingham Estates,"Rockland, NY"
Bulsontown,"Rockland, NY"
Airmont,"Rockland, NY"
Airmont Heights,"Rockland, NY"
Antrim,"Rockland, NY"
Camp Hill,"Rockland, NY"
Cedar Flats,"Rockland, NY"
Centenary,"Rockland, NY"
Central Nyack,"Rockland, NY"
Chestnut Ridge,"Rockland, NY"
Clarkstown,"Rockland, NY"
Congers,"Rockland, NY"
Doodletown,"Rockland, NY"
Felters Corners,"Rockland, NY"
Fort Clinton,"Rockland, NY"
Garnerville,"Rockland, NY"
Germonds,"Rockland, NY"
Grand View-on-Hudson,"Rockland, NY"
Grassy Point,"Rockland, NY"
Happy Valley,"Rockland, NY"
New Hempstead,"Rockland, NY"
Hillburn,"Rockland, NY"
Hillcrest,"Rockland, NY"
Jones Point,"Rockland, NY"
Kaser,"Rockland, NY"
Ladentown,"Rockland, NY"
Lake Lucille,"Rockland, NY"
Monsey,"Rockland, NY"
Monsey Heights,"Rockland, NY"
Montebello,"Rockland, NY"
Monterey Estates,"Rockland, NY"
Mountain View East,"Rockland, NY"
Mount Ivy,"Rockland, NY"
Nanuet,"Rockland, NY"
Nauraushaun,"Rockland, NY"
New City,"Rockland, NY"
New City Junction,"Rockland, NY"
New City Park,"Rockland, NY"
New Hempstead,"Rockland, NY"
New Square,"Rockland, NY"
Nyack,"Rockland, NY"
Oakbrook,"Rockland, NY"
Orangeburg,"Rockland, NY"
Orangetown,"Rockland, NY"
Palisades,"Rockland, NY"
Pearl River,"Rockland, NY"
Piermont,"Rockland, NY"
Pomona,"Rockland, NY"
Pomona Heights,"Rockland, NY"
Ramapo,"Rockland, NY"
Rockland Lake State Park,"Rockland, NY"
Samsondale,"Rockland, NY"
Sloatsburg,"Rockland, NY"
Sneden Landing,"Rockland, NY"
South Nyack,"Rockland, NY"
Sparkill,"Rockland, NY"
Spring Valley,"Rockland, NY"
Sterlington,"Rockland, NY"
Stony Point,"Rockland, NY"
Stony Point,"Rockland, NY"
Suffern,"Rockland, NY"
Suffern Park,"Rockland, NY"
Summit Park,"Rockland, NY"
Svahn Manor,"Rockland, NY"
Tallman,"Rockland, NY"
Tallmans,"Rockland, NY"
Tappan,"Rockland, NY"
Thiells,"Rockland, NY"
Tomkins Cove,"Rockland, NY"
Upper Grand View,"Rockland, NY"
Upper Nyack,"Rockland, NY"
Valley Cottage,"Rockland, NY"
Viola,"Rockland, NY"
Wesley Chapel,"Rockland, NY"
Wesley Hills,"Rockland, NY"
West Haverstraw,"Rockland, NY"
West Nyack,"Rockland, NY"
Willow Grove,"Rockland, NY"
Palisade,"Rockland, NY"
Haverstraw,"Rockland, NY"
Barryville,"Sullivan, NY"
Basket,"Sullivan, NY"
Beaver Brook,"Sullivan, NY"
Beaverkill,"Sullivan, NY"
Bethel,"Sullivan, NY"
Bethel,"Sullivan, NY"
Black Lake,"Sullivan, NY"
Bloomingburg,"Sullivan, NY"
Bloomingburgh,"Sullivan, NY"
Bradley,"Sullivan, NY"
Bridgeville,"Sullivan, NY"
Briscoe,"Sullivan, NY"
Burlingham,"Sullivan, NY"
Bushville,"Sullivan, NY"
Acidalia,"Sullivan, NY"
Aden,"Sullivan, NY"
Anderson,"Sullivan, NY"
Callicoon,"Sullivan, NY"
Callicoon Center,"Sullivan, NY"
Camp Hemlock,"Sullivan, NY"
Claryville,"Sullivan, NY"
Cochecton,"Sullivan, NY"
Cochecton,"Sullivan, NY"
Cochecton Center,"Sullivan, NY"
Cooley,"Sullivan, NY"
Coopers Corners,"Sullivan, NY"
Craigie Clair,"Sullivan, NY"
Culvertown,"Sullivan, NY"
Curry,"Sullivan, NY"
Dahlia,"Sullivan, NY"
Debruce,"Sullivan, NY"
Deckertown,"Sullivan, NY"
Divine Corners,"Sullivan, NY"
East Cochecton,"Sullivan, NY"
Eldred,"Sullivan, NY"
Emerald Green,"Sullivan, NY"
Fallsburg,"Sullivan, NY"
Fallsburg,"Sullivan, NY"
Fallsburgh,"Sullivan, NY"
Falls Mills,"Sullivan, NY"
Ferndale,"Sullivan, NY"
Fernwood,"Sullivan, NY"
Forestburg,"Sullivan, NY"
Forestburgh,"Sullivan, NY"
Fosterdale,"Sullivan, NY"
Fowlerville,"Sullivan, NY"
Fremont,"Sullivan, NY"
Fremont Center,"Sullivan, NY"
Glen Spey,"Sullivan, NY"
Glen Wild,"Sullivan, NY"
Grahamsville,"Sullivan, NY"
Grooville,"Sullivan, NY"
Grossinger,"Sullivan, NY"
Handsome Eddy,"Sullivan, NY"
Hankins,"Sullivan, NY"
Harris,"Sullivan, NY"
Hartwood,"Sullivan, NY"
Hartwood Club,"Sullivan, NY"
Hasbrouck,"Sullivan, NY"
Haven,"Sullivan, NY"
Hazel,"Sullivan, NY"
Highland Lake,"Sullivan, NY"
High View,"Sullivan, NY"
Highview,"Sullivan, NY"
Hortonville,"Sullivan, NY"
Hunter Lake,"Sullivan, NY"
Hunts Corners,"Sullivan, NY"
Hurd,"Sullivan, NY"
Hurd Settlement,"Sullivan, NY"
Hurleyville,"Sullivan, NY"
Jeffersonville,"Sullivan, NY"
Joscelyn,"Sullivan, NY"
Kauneonga,"Sullivan, NY"
Kauneonga Lake,"Sullivan, NY"
Kenoza Lake,"Sullivan, NY"
Kiamesha Lake,"Sullivan, NY"
Knights Eddy,"Sullivan, NY"
Kohlertown,"Sullivan, NY"
Lake Huntington,"Sullivan, NY"
Lava,"Sullivan, NY"
Lew Beach,"Sullivan, NY"
Liberty,"Sullivan, NY"
Liberty,"Sullivan, NY"
Livingston Manor,"Sullivan, NY"
Lochada Lake,"Sullivan, NY"
Loch Sheldrake,"Sullivan, NY"
Long Eddy,"Sullivan, NY"
Loomis,"Sullivan, NY"
Lower Beechwood,"Sullivan, NY"
Lumberland,"Sullivan, NY"
Mamakating,"Sullivan, NY"
Mamakating Park,"Sullivan, NY"
Maple Glen,"Sullivan, NY"
Maplewood,"Sullivan, NY"
Masten Lake,"Sullivan, NY"
Melody Lake,"Sullivan, NY"
Merriewold,"Sullivan, NY"
Merriewold Park,"Sullivan, NY"
Mileses,"Sullivan, NY"
Minisink Ford,"Sullivan, NY"
Mohican Lake,"Sullivan, NY"
Mongaup,"Sullivan, NY"
Mongaup Valley,"Sullivan, NY"
Monticello,"Sullivan, NY"
Morsston,"Sullivan, NY"
Mountain Dale,"Sullivan, NY"
Mount Prosper,"Sullivan, NY"
Mount Vernon,"Sullivan, NY"
Narrowsburg,"Sullivan, NY"
Neversink,"Sullivan, NY"
Newieden,"Sullivan, NY"
North Branch,"Sullivan, NY"
Oakland Valley,"Sullivan, NY"
Obernburg,"Sullivan, NY"
Odell,"Sullivan, NY"
Parkston,"Sullivan, NY"
Parksville,"Sullivan, NY"
Phillipsport,"Sullivan, NY"
Philwold,"Sullivan, NY"
Pleasant Valley,"Sullivan, NY"
Pond Eddy,"Sullivan, NY"
Richards Field,"Sullivan, NY"
Rock Hill,"Sullivan, NY"
Roosa Gap,"Sullivan, NY"
Roscoe,"Sullivan, NY"
Sacketts Lake,"Sullivan, NY"
St. Josephs,"Sullivan, NY"
St. Josephs Sanatarium,"Sullivan, NY"
Shandelee,"Sullivan, NY"
Skinners Falls,"Sullivan, NY"
Smallwood,"Sullivan, NY"
South Fallsburg,"Sullivan, NY"
South Fallsburgh,"Sullivan, NY"
Squirrels Corners,"Sullivan, NY"
Summitville,"Sullivan, NY"
Swan Lake,"Sullivan, NY"
Ten Mile River,"Sullivan, NY"
Tennanah,"Sullivan, NY"
Tennanah Lake,"Sullivan, NY"
Thompson,"Sullivan, NY"
Thompsonville,"Sullivan, NY"
Tusten,"Sullivan, NY"
Tusten,"Sullivan, NY"
Tylertown,"Sullivan, NY"
Unionville,"Sullivan, NY"
Upper Beechwood,"Sullivan, NY"
Upper Delaware Scenic & Recreational River,"Sullivan, NY"
Upper Mongaup,"Sullivan, NY"
Westbrookville,"Sullivan, NY"
White Lake,"Sullivan, NY"
White Sulphur Springs,"Sullivan, NY"
Willowemoc,"Sullivan, NY"
Winterton,"Sullivan, NY"
Woodbourne,"Sullivan, NY"
Woodridge,"Sullivan, NY"
Wurtsboro,"Sullivan, NY"
Wurtsboro Hills,"Sullivan, NY"
Yankee Lake,"Sullivan, NY"
Youngsville,"Sullivan, NY"
Yulan,"Sullivan, NY"
Baileys Gap,"Ulster, NY"
Barclay Heights,"Ulster, NY"
Bearsville,"Ulster, NY"
Beechford,"Ulster, NY"
Belle Ayr,"Ulster, NY"
Benton Corners,"Ulster, NY"
Big Indian,"Ulster, NY"
Binnewater,"Ulster, NY"
Bloomington,"Ulster, NY"
Bloomington-Hickory Bush,"Ulster, NY"
Blue Mountain,"Ulster, NY"
Boiceville,"Ulster, NY"
Borden Estate,"Ulster, NY"
Branch,"Ulster, NY"
Brodhead,"Ulster, NY"
Brownville,"Ulster, NY"
Bruceville,"Ulster, NY"
Bruynswick,"Ulster, NY"
Bull Run,"Ulster, NY"
Bushnellville,"Ulster, NY"
Butterville,"Ulster, NY"
Byrdcliffe,"Ulster, NY"
Awosting,"Ulster, NY"
Accord (CDP),"Ulster, NY"
Allaben,"Ulster, NY"
Alligerville,"Ulster, NY"
Ardonia,"Ulster, NY"
Asbury,"Ulster, NY"
Ashokan,"Ulster, NY"
Atwood,"Ulster, NY"
Carle Terrace,"Ulster, NY"
Centerville,"Ulster, NY"
Cherrytown,"Ulster, NY"
Chichester,"Ulster, NY"
Clintondale,"Ulster, NY"
Clintondale,"Ulster, NY"
Cold Brook,"Ulster, NY"
Connelly,"Ulster, NY"
Corner,"Ulster, NY"
Cottekill,"Ulster, NY"
Cragsmoor,"Ulster, NY"
Crawford,"Ulster, NY"
Creeklocks,"Ulster, NY"
Dairyland,"Ulster, NY"
Daisy,"Ulster, NY"
Dashville,"Ulster, NY"
Davis Corners,"Ulster, NY"
Denning,"Ulster, NY"
Dwaarkill,"Ulster, NY"
East Kingston,"Ulster, NY"
East Wawarsing,"Ulster, NY"
Eavesport,"Ulster, NY"
Eddyville,"Ulster, NY"
Ellenville,"Ulster, NY"
Elting Corners,"Ulster, NY"
Esopus,"Ulster, NY"
Esopus,"Ulster, NY"
Fantinekill,"Ulster, NY"
Fish Creek,"Ulster, NY"
Flatbush,"Ulster, NY"
Flint,"Ulster, NY"
Forest Glen,"Ulster, NY"
Frost Valley,"Ulster, NY"
Galeville,"Ulster, NY"
Ganahgote,"Ulster, NY"
Gardiner,"Ulster, NY"
Glasco,"Ulster, NY"
Glenerie,"Ulster, NY"
Glenerie Lake Park,"Ulster, NY"
Glenford,"Ulster, NY"
Grand Hotel,"Ulster, NY"
Granite,"Ulster, NY"
Greenfield Park,"Ulster, NY"
Greenville,"Ulster, NY"
Halihan Hill,"Ulster, NY"
Hardenburgh,"Ulster, NY"
Hickorybush,"Ulster, NY"
High Falls,"Ulster, NY"
Highland,"Ulster, NY"
Highland Landing,"Ulster, NY"
Highmount,"Ulster, NY"
High Woods,"Ulster, NY"
Hillside,"Ulster, NY"
Honk Hill,"Ulster, NY"
Hurley (CDP),"Ulster, NY"
Hurley (town),"Ulster, NY"
Ireland Corners,"Ulster, NY"
Jenkinstown,"Ulster, NY"
Jockey Hill,"Ulster, NY"
Kallops Corners,"Ulster, NY"
Katsbaan,"Ulster, NY"
Kerhonkson,"Ulster, NY"
Kingston,"Ulster, NY"
Kingston,"Ulster, NY"
Kripplebush,"Ulster, NY"
Krumville,"Ulster, NY"
Kyserike,"Ulster, NY"
Lackawack,"Ulster, NY"
Ladleton,"Ulster, NY"
Lake Hill,"Ulster, NY"
Lake Katrine,"Ulster, NY"
Lake Minnewaska,"Ulster, NY"
Lapla,"Ulster, NY"
Lattintown,"Ulster, NY"
Lawrenceville,"Ulster, NY"
Lefever Falls,"Ulster, NY"
Leibhardt,"Ulster, NY"
Libertyville,"Ulster, NY"
Liebhardt,"Ulster, NY"
Lincoln Park,"Ulster, NY"
Lloyd,"Ulster, NY"
Lloyd,"Ulster, NY"
Lomontville,"Ulster, NY"
Lyonsville,"Ulster, NY"
Malden,"Ulster, NY"
Malden-on-Hudson,"Ulster, NY"
Manorville,"Ulster, NY"
Mapledale,"Ulster, NY"
Maple Hill,"Ulster, NY"
Marbletown,"Ulster, NY"
Marlboro,"Ulster, NY"
Marlborough,"Ulster, NY"
Mettacahonts,"Ulster, NY"
Mill Hook,"Ulster, NY"
Milton,"Ulster, NY"
Modena,"Ulster, NY"
Modena Gardens,"Ulster, NY"
Mohonk Lake,"Ulster, NY"
Mombaccus,"Ulster, NY"
Montoma,"Ulster, NY"
Morgan Hill,"Ulster, NY"
Mount Marion,"Ulster, NY"
Mount Marion Park,"Ulster, NY"
Mount Merion Park,"Ulster, NY"
Mount Pleasant,"Ulster, NY"
Mount Tremper,"Ulster, NY"
Napanoch,"Ulster, NY"
New Hurley,"Ulster, NY"
New Paltz,"Ulster, NY"
New Salem,"Ulster, NY"
Oakes,"Ulster, NY"
Ohioville,"Ulster, NY"
Olive,"Ulster, NY"
Olivebridge,"Ulster, NY"
Oliverea,"Ulster, NY"
Pacama,"Ulster, NY"
Palentown,"Ulster, NY"
Pataukunk,"Ulster, NY"
Peekamoose,"Ulster, NY"
Phoenicia,"Ulster, NY"
Pine Bush,"Ulster, NY"
Pine Hill,"Ulster, NY"
Plattekill,"Ulster, NY"
Plattekill,"Ulster, NY"
Plutarch,"Ulster, NY"
Ponck Hockie,"Ulster, NY"
Port Ben,"Ulster, NY"
Port Ewen,"Ulster, NY"
Potterville,"Ulster, NY"
Quarryville,"Ulster, NY"
Red Mills,"Ulster, NY"
Rifton,"Ulster, NY"
Riggsville,"Ulster, NY"
Riverside Park,"Ulster, NY"
Rochester,"Ulster, NY"
Rolling Meadows,"Ulster, NY"
Rondout,"Ulster, NY"
Rosendale,"Ulster, NY"
Rosendale Village,"Ulster, NY"
Ruby,"Ulster, NY"
Rutsonville,"Ulster, NY"
Saint Elmo,"Ulster, NY"
Saint Josen,"Ulster, NY"
St. Remy,"Ulster, NY"
Samsonville,"Ulster, NY"
Saugerties,"Ulster, NY"
Saugerties,"Ulster, NY"
Saugerties South,"Ulster, NY"
Sawkill,"Ulster, NY"
Saxton,"Ulster, NY"
Seager,"Ulster, NY"
Shady,"Ulster, NY"
Shandaken,"Ulster, NY"
Shandaken,"Ulster, NY"
Shawangunk,"Ulster, NY"
Shokan,"Ulster, NY"
Sholam,"Ulster, NY"
Shultis Corners,"Ulster, NY"
Sleightsburg,"Ulster, NY"
Spring Glen,"Ulster, NY"
Springtown,"Ulster, NY"
Stone Ridge,"Ulster, NY"
Stony Hollow,"Ulster, NY"
Sundown,"Ulster, NY"
Sweet Meadows,"Ulster, NY"
Tabasco,"Ulster, NY"
The Cape,"Ulster, NY"
The Corner,"Ulster, NY"
The Vly,"Ulster, NY"
Tillson,"Ulster, NY"
Tuckers Corner,"Ulster, NY"
Turnwood,"Ulster, NY"
Tuthill,"Ulster, NY"
Tuthilltown,"Ulster, NY"
Ulster Heights,"Ulster, NY"
Ulster Landing,"Ulster, NY"
Ulster Park,"Ulster, NY"
Ulsterville,"Ulster, NY"
Union Center,"Ulster, NY"
Uptown,"Ulster, NY"
Veteran,"Ulster, NY"
Walker Valley,"Ulster, NY"
Wallkill,"Ulster, NY"
Wallkill Camp,"Ulster, NY"
Wawarsing,"Ulster, NY"
Wawarsing,"Ulster, NY"
West Camp,"Ulster, NY"
West Hurley,"Ulster, NY"
West Park,"Ulster, NY"
West Saugerties,"Ulster, NY"
West Shokan,"Ulster, NY"
Whiteport,"Ulster, NY"
Whitfield,"Ulster, NY"
Wilbur,"Ulster, NY"
Williams Lake,"Ulster, NY"
Willow,"Ulster, NY"
Winchell,"Ulster, NY"
Wittenberg,"Ulster, NY"
Woodland,"Ulster, NY"
Woodstock,"Ulster, NY"
Woodstock,"Ulster, NY"
Yagerville,"Ulster, NY"
Zena,"Ulster, NY"
